Scientific Name,Family ,Local Name,Disease used on ,Parts used,Preparation and Administration,Quality of Dosage ,Administration Frequency,Experienced adverse or side effects,Literature taken from,Page where the data can be found on the literature
Andrographis paniculata Nees,Acanthaceae,White flower,"Jaundice, colds, malaria; cancer; diabetes; hypertension, heart enlargement, atherosclerosis; cough, respiratory disease complex, sore throat; diarrhea, ulcer, dyspepsia, liver problem; abortifacient; fever, gas pain and flatulence"," Leaf, Roots",Drink decoction,3–5 glasses,Once to thrice a day or as needed,Can cause abortion in pregnant women,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page:  11
Andrographis paniculata Nees,Acanthaceae,White flower,"Boils, skin rashes and itchiness, dermatitis",Whole Plant,Apply decoction as wash,3–5 glasses,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page:  11
Rhinacanthus nasutus (L.) Kurz,Acanthaceae,Marvelosa or Serpentina,"Colds; diabetes, beriberi; nervous breakdown; hypertension; diarrhea, stomachache; weakness and fatigue, cramp and spasm",Leaf,Drink decoction,1–3 glasses,Once a day for 3–5 days,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page:  11
Amaranthus spinosus L.,Amaranthaceae,Kudyapa,"Diabetes; anemia; cough, bronchitis; dysentery, constipation; urinary tract infection; fever",Leaf,Drink decoction,3–5 glasses,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page:  11
Amaranthus spinosus L.,Amaranthaceae,Kudyapa,Labor and delivery enhancer,Seeds,Drink waterinfused powdered seeds,1–3 glasses,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page:  11
Amaranthus spinosus L.,Amaranthaceae,Kudyapa,"Boils, psoriasis, skin rashes, eczema, pimple, acne; snake and scorpion bite",Leaf,Apply leaves as poultice,3–5 leaves,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page:  11
Mangifera indica L,Anacardiaceae,Mangga,Constipation,Fruit,Eat fresh  fruit directly,1–3 fruits,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page:  11
Mangifera indica L,Anacardiaceae,Mangga,"Cough, cough with phlegm, sore throat",Leaf,Drink hot waterinfused leaves or decoction,3–5 glasses,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Mangifera indica L,Anacardiaceae,Mangga,"Diarrhea, stomach trouble; headache",Bark,Drink decoction,3–5 glasses,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Mangifera indica L,Anacardiaceae,Mangga,Scabies; cuts and wounds,"Bark , Leaf",Rub crushed leaves or scraped bark,"3–5 leaves, 1 palmsized bark",Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
